DESTINATION,SERVICE_NAME,RATING,WEIGHTAGE,COUNT,CATEGORY,CHECK_VALUE
"Mumbai, Maharashtra, India", Juhu beach ,4,9,340,Attraction,12240
"Mumbai, Maharashtra, India",Siddhivinayak Temple,4.8,9,340,Attraction,14688
"Mumbai, Maharashtra, India",Haji Ali Dargah,4.4,9,336,Attraction,13305.6
"Mumbai, Maharashtra, India",Gateway of India; Mumbai,4.6,9,329,Attraction,13620.6
"Mumbai, Maharashtra, India",Prince of Wales Museum,4.5,8,188,Attraction,6768
"Mumbai, Maharashtra, India",futureservicedummy,0,0,2857,Attraction,0
"Mumbai, Maharashtra, India",8AM-12PM,0,1,535,Attraction,535
"Mumbai, Maharashtra, India",4PM-8PM,0,1,535,Attraction,0
"Mumbai, Maharashtra, India",0,0,3,3864,Attraction,0
"Mumbai, Maharashtra, India",Leave Airport,0,0,3864,Attraction,0
"Mumbai, Maharashtra, India",Reach Airport,0,0,867,Attraction,0
"Mumbai, Maharashtra, India","restaurant,bakery,food,health,store",4.1,0,19,Hotel,0
"Mumbai, Maharashtra, India", Juhu beach ,4,9,340,Attraction,12240
"Mumbai, Maharashtra, India",Siddhivinayak Temple,4.8,9,340,Attraction,14688
"Mumbai, Maharashtra, India",Haji Ali Dargah,4.4,9,336,Attraction,13305.6
"Mumbai, Maharashtra, India",Gateway of India; Mumbai,4.6,9,329,Attraction,13620.6
"Mumbai, Maharashtra, India",Prince of Wales Museum,4.5,8,188,Attraction,6768
"Mumbai, Maharashtra, India",futureservicedummy,0,0,2857,Attraction,0
"Mumbai, Maharashtra, India",8AM-12PM,0,1,535,Attraction,0
"Mumbai, Maharashtra, India",4PM-8PM,0,1,535,Attraction,0
"Mumbai, Maharashtra, India",0,0,3,3864,Attraction,0
"Mumbai, Maharashtra, India",Leave Airport,0,0,3864,Attraction,0
"Mumbai, Maharashtra, India",Reach Airport,0,0,867,Attraction,0
